R00173,C00018,C00250,-12.3,#
R00174,C00002,C00008,-14.1,#
R00174,C00018,C00250,14.1,#
R00175,C00019,C00170,87.34,*
R00175,C00019,C00263,87.34,*
R00177,C00019,C00073,121.33,*
R00178,C00019,C01137,-59.68,*
R00179,C00019,C00170,-1.34,*
R00179,C00019,C01234,-1.34,*
R00180,C00019,C00170,78.84,*
R00180,C00019,C02926,78.84,*
R00181,C00020,C00130,-31.6,#
R00182,C00020,C00147,-17.7,#
R00182,C00020,C00117,-17.7,#
R00183,C00020,C00212,-14.2,#
R00184,C00002,C01260,33.6,#
R00184,C00020,C01260,33.6,#
R00185,C00002,C00008,-12.2,#
R00185,C00020,C00212,12.2,#
R00187,C00008,C06197,?
R00187,C00020,C06197,?
R00188,C00020,C00054,11.0,#
R00189,C00003,C00857,16.4,#
R00190,C00020,C00147,17.1,#
R00191,C00020,C00575,41.5,#
R00192,C00021,C00155,34.7,#
R00192,C00021,C00212,34.7,#
R00193,C00021,C03431,-23.3,#
R00194,C00021,C00147,-15.1,#
R00194,C00021,C03539,-15.1,#
R00195,C00022,C06393,4.8,#
R00196,C00022,C00186,-49.3,*
R00197,C00022,C00256,-46.23,*
R00198,C00022,C00256,?
R00199,C00022,C00074,3.8,#
R00199,C00002,C00020,3.8,#
R00200,C00002,C00008,27.7,#
R00200,C00022,C00074,27.7,#
R00203,C00022,C00546,29.0,#
R00205,C00022,C00546,28.0,#
R00206,C00022,C00074,19.6,#
R00206,C00002,C00020,19.6,#
R00207,C00022,C00227,-158.9,#
R00208,C00022,C00074,54.1,#
R00209,C00010,C00024,-35.3,#
R00209,C00022,C00024,-35.3,#
R00210,C00010,C00024,-34.4,#
R00211,C00010,C00024,-168.8,#
R00211,C00022,C00024,-168.8,#
R00212,C00010,C00024,-21.2,#
R00212,C00022,C00024,-21.2,#
R00212,C00022,C00058,-21.2,#
R00213,C00022,C03015,445.74,*
R00214,C00022,C00149,-13.0,#
R00215,C00022,C00497,-22.3,#
R00216,C00022,C00149,-14.0,#
R00217,C00022,C00036,17.3,#
R00218,C00022,C03248,-72.89,*
R00219,C00022,C03981,23.0,#
R00220,C00022,C00065,28.7,#
R00221,C00022,C00740,27.7,#
R00223,C00022,C00716,28.9,#
R00224,C00022,C00084,-18.3,#
R00226,C00022,C06010,-32.2,#
R00227,C00010,C00024,30.0,#
R00227,C00024,C00033,-30.0,#
R00228,C00010,C00024,-17.0,#
R00228,C00024,C00084,17.0,#
R00229,C00010,C00024,3.6,#
R00229,C00024,C00033,-3.6,#
R00230,C00010,C00024,-9.8,#
R00230,C00024,C00227,9.8,#
R00233,C00024,C00083,17.8,#
R00234,C00010,C00024,?
R00234,C00012,C03011,?
R00235,C00010,C00024,-4.5,#
R00235,C00024,C00033,4.5,#
R00236,C00010,C00024,-1176.07,*
R00236,C00020,C05993,1176.07,*
R00236,C00024,C05993,1176.07,*
R00237,C00022,C01011,-9.1,#
R00237,C00024,C01011,-9.1,#
R00238,C00010,C00024,-26.1,#
R00238,C00024,C00332,26.1,#
R00239,C00002,C00008,26.4,#
R00239,C00025,C03287,26.4,#
R00243,C00025,C00026,38.0,#
R00243,C00014,C00025,-38.0,#
R00245,C00025,C01165,43.6,#
R00248,C00025,C00026,38.9,#
